generation,MSE,time,run_id
43,9.333534,2.486046,8
44,9.333534,2.531329,8
45,9.333534,2.576055,8
46,9.333534,2.626747,8
47,9.333534,2.679467,8
48,9.333534,2.729686,8
49,9.333534,2.778474,8
50,9.333534,2.824536,8
51,9.333534,2.875721,8
52,9.295645,2.926532,8
53,9.295645,2.974807,8
54,8.73843,3.019037,8
55,8.73843,3.066415,8
56,8.73843,3.109241,8
57,8.73843,3.153143,8
58,8.734581,3.201253,8
59,8.734581,3.253232,8
60,8.734581,3.302813,8
61,8.734581,3.342912,8
62,8.734581,3.386939,8
63,8.715259,3.42834,8
64,8.035021,3.472886,8
65,8.035021,3.520916,8
66,8.035021,3.570457,8
67,8.035021,3.620648,8
68,8.035021,3.669338,8
69,8.035021,3.717603,8
70,8.035021,3.767784,8
71,8.035021,3.812087,8
72,6.239873,3.841665,8
1,13.77196,0.4692395,9
2,13.77196,0.5118954,9
3,12.60135,0.558445,9
4,12.60135,0.6066885,9
5,12.60135,0.6528351,9
6,12.60135,0.701328,9
7,12.60135,0.7509054,9
8,11.59531,0.7987538,9
9,11.59531,0.8467916,9
10,11.59531,0.897331,9
11,11.59531,0.9624209,9
12,11.59531,1.018505,9
13,11.59531,1.070601,9
14,11.59531,1.1137,9
15,11.59531,1.162614,9
16,11.59531,1.208584,9
17,10.462,1.255407,9
18,10.53922,1.302553,9
19,10.62064,1.353193,9
20,10.6007,1.395703,9
21,10.59943,1.438104,9
22,10.69725,1.489625,9
23,10.58305,1.535886,9
24,10.11035,1.584287,9
25,10.11035,1.63495,9
26,10.11035,1.679186,9
27,9.955766,1.725656,9
28,9.955766,1.777407,9
29,9.955766,1.818429,9
30,9.955766,1.869095,9
31,9.955766,1.913179,9
32,9.955766,1.965315,9
33,9.955766,2.013972,9
34,9.955766,2.059051,9
35,9.955766,2.102865,9
36,9.955766,2.146646,9
37,9.955766,2.19191,9
38,9.915482,2.241935,9
39,9.285276,2.288975,9
40,9.285276,2.336913,9
41,9.285276,2.380664,9
42,9.285276,2.423559,9
43,9.285276,2.468743,9
44,9.285276,2.511704,9
45,9.285276,2.559606,9
46,9.22322,2.60598,9
47,9.22322,2.648878,9
48,9.22322,2.69793,9
49,9.22322,2.746832,9
50,9.22322,2.79543,9
51,9.22322,2.840695,9
52,9.22322,2.880992,9
53,9.198214,2.924331,9
54,9.198214,2.968441,9
55,9.198214,3.01979,9
56,9.194006,3.070791,9
57,9.194006,3.110988,9
58,9.194006,3.157931,9
59,9.194006,3.209914,9
60,9.194006,3.255375,9
61,9.194006,3.306621,9
62,9.184145,3.355077,9
63,9.144503,3.400949,9
64,9.144503,3.441378,9
65,9.144503,3.487593,9
66,9.090346,3.539065,9
67,9.090346,3.593065,9
68,9.045001,3.646472,9
69,8.981906,3.698838,9
70,8.981906,3.749981,9
71,8.981906,3.79386,9
72,7.260799,3.827932,9
1,12.34454,0.4749924,10
2,12.34454,0.5213914,10
3,12.34454,0.5689147,10
4,12.34454,0.6200394,10
5,12.34454,0.6704433,10
6,12.34454,0.7221815,10
7,12.24596,0.7745202,10
8,12.24596,0.8231088,10
9,12.24596,0.8736879,10
10,12.0095,0.9283465,10
11,11.91669,0.9729181,10
12,11.91669,1.023374,10
13,11.91669,1.069566,10
14,11.73534,1.111804,10
15,11.64422,1.152138,10
16,11.64422,1.19419,10
17,10.51167,1.245246,10
18,10.51167,1.289135,10
19,10.53623,1.339653,10
20,10.53623,1.390458,10
21,10.53623,1.45324,10
22,10.55234,1.493391,10
23,10.53623,1.534008,10
24,10.47821,1.577561,10
25,10.73606,1.621327,10
26,10.57844,1.661253,10
27,10.37885,1.709279,10
28,10.37885,1.759006,10
29,10.37885,1.808086,10
30,10.37885,1.847624,10
31,10.37885,1.89527,10
32,10.37885,1.939834,10
33,10.37885,1.979876,10
34,10.37885,2.020089,10
35,10.37885,2.066348,10
36,10.19732,2.113387,10
37,10.19732,2.154955,10
38,10.19732,2.195458,10
39,10.19732,2.238701,10
40,10.19732,2.288799,10
41,10.19732,2.335842,10
42,9.996502,2.378278,10
43,9.996502,2.428069,10
44,9.740593,2.479091,10
45,9.740593,2.524764,10
46,9.740593,2.577218,10
47,9.705796,2.618985,10
48,9.705796,2.663895,10
49,9.705796,2.707428,10
50,9.705796,2.757805,10
51,9.705796,2.807934,10
52,9.705796,2.852358,10
53,9.705796,2.896946,10
54,9.705796,2.942902,10
55,9.404062,2.989181,10
56,9.404062,3.040465,10
57,9.191736,3.084518,10
58,9.191736,3.127599,10
59,9.191736,3.17674,10
60,9.191736,3.226537,10
61,9.191736,3.271742,10
62,9.191736,3.31734,10
63,9.191736,3.365546,10
64,9.191736,3.407917,10
65,9.191736,3.457455,10
66,9.191736,3.508558,10
67,9.191736,3.55501,10
68,9.191736,3.605841,10
69,9.191736,3.651108,10
70,9.191736,3.6958,10
71,9.191736,3.74395,10
72,7.079673,3.775831,10
1,13.88554,0.5169186,11
2,13.88554,0.5617956,11
3,13.88554,0.6128132,11
4,13.0152,0.6647848,11
5,12.97904,0.7125206,11
6,13.0152,0.7590713,11
7,11.70398,0.8089655,11
8,11.70398,0.8540716,11
9,11.70398,0.9169789,11
10,11.70398,0.9859864,11
11,11.70398,1.029312,11
12,11.70398,1.075733,11
13,11.64612,1.119812,11
14,11.64612,1.167304,11
15,11.64612,1.212396,11
16,11.64612,1.260666,11
17,11.64612,1.309553,11
18,11.64612,1.359535,11
19,11.06166,1.40075,11
20,11.06166,1.451445,11
21,11.06166,1.499884,11
22,11.06166,1.54604,11
23,11.06166,1.591246,11
24,11.06166,1.639094,11
25,11.06166,1.690199,11
26,11.06166,1.740469,11
27,11.06166,1.78982,11
28,11.06166,1.839358,11
29,9.852104,1.889101,11
30,9.852104,1.936409,11
31,9.852104,1.981999,11
32,9.852104,2.023171,11
33,9.852104,2.064145,11
34,9.852104,2.108271,11
35,9.852104,2.159124,11
36,9.852104,2.205314,11
37,9.852104,2.247867,11
38,9.852104,2.28889,11
39,9.852104,2.335919,11
40,9.852104,2.388171,11
41,9.852104,2.439346,11
42,9.852104,2.489774,11
43,9.852104,2.541488,11
44,9.852104,2.587262,11
45,9.741628,2.632742,11
46,9.741628,2.676701,11
47,9.684423,2.725175,11
48,9.684423,2.774274,11
49,9.684423,2.822524,11
50,9.307105,2.866845,11
51,9.307105,2.911543,11
52,9.186302,2.964821,11
53,9.186302,3.01492,11
54,9.186302,3.061392,11
55,9.186302,3.107392,11
56,9.186302,3.147187,11
57,9.186302,3.192992,11
58,9.186302,3.242571,11
59,9.186302,3.287277,11
60,9.186302,3.33726,11
61,9.186302,3.379586,11
62,9.186302,3.424228,11
63,9.116406,3.470759,11
64,9.116406,3.514644,11
65,9.116406,3.567637,11
66,9.116406,3.617338,11
67,8.965366,3.663995,11
68,8.965366,3.711164,11
69,8.965366,3.759945,11
70,8.835357,3.810894,11
71,8.835357,3.857019,11
72,6.910582,3.894055,11
1,13.81634,0.5317196,12
2,13.81634,0.580857,12
3,12.60437,0.634432,12
4,12.59006,0.6967263,12
5,12.51041,0.7459508,12
6,12.47855,0.787768,12
7,12.20976,0.8314074,12
8,12.0557,0.8802018,12
9,12.26287,0.9164555,12
10,10.98918,0.972129,12
11,10.98918,1.011189,12
12,10.98918,1.066215,12
13,10.98918,1.107621,12
14,10.98918,1.174577,12
15,10.98918,1.235035,12
16,10.98918,1.276306,12
17,10.98918,1.31799,12
18,10.98918,1.358754,12
19,10.98918,1.403092,12
20,10.80997,1.443455,12
21,10.70667,1.483472,12
22,10.29525,1.523947,12
23,10.29525,1.567873,12
24,10.29525,1.614801,12
25,10.29525,1.658246,12
26,10.29525,1.701473,12
27,10.29525,1.741969,12
28,10.29525,1.791456,12
29,10.29525,1.84294,12
30,10.22325,1.891625,12
31,10.22325,1.934543,12
32,10.16557,1.981168,12
33,10.16557,2.028831,12
34,10.16557,2.079162,12
35,10.16557,2.130734,12
36,10.16557,2.181728,12
37,10.16557,2.222899,12
38,10.16557,2.265109,12
39,10.07636,2.313379,12
40,10.07636,2.361128,12
41,10.07636,2.40754,12
42,10.07636,2.454224,12
43,10.07636,2.50051,12
44,9.999932,2.550136,12
45,9.999932,2.596245,12
46,9.999932,2.64285,12
47,9.999932,2.689131,12
48,9.999932,2.736595,12
49,9.999932,2.782356,12
50,9.999932,2.825709,12
51,9.999932,2.875147,12
52,9.999932,2.923596,12
53,9.999932,2.968052,12
54,9.999932,3.017002,12
55,9.999932,3.063607,12
56,9.999932,3.113373,12
57,9.999932,3.163354,12
58,9.999932,3.20879,12
59,9.999932,3.251571,12
60,9.999932,3.292183,12
61,9.999932,3.336304,12
62,9.999932,3.376951,12
63,9.999932,3.41763,12
64,9.999932,3.458828,12
65,9.999932,3.499537,12
66,9.762442,3.548301,12
67,9.748493,3.588937,12
68,9.537781,3.626484,12
69,9.537781,3.669543,12
70,9.537781,3.71587,12
71,9.537781,3.756258,12
72,7.096102,3.784816,12
1,13.40979,0.4531103,13
2,13.40979,0.498033,13
3,13.40979,0.5510888,13
4,13.35708,0.5971366,13
5,12.77249,0.6465867,13
6,12.35923,0.6982359,13
7,12.35923,0.7454084,13
8,12.35923,0.7911534,13
9,12.35923,0.8342288,13
10,11.91713,0.8792671,13
11,11.91713,0.9260609,13
12,11.91713,1.00293,13
13,11.91713,1.055067,13
14,11.61183,1.106216,13
15,11.55802,1.154027,13
16,11.21643,1.206239,13
17,11.21643,1.251067,13
18,11.21643,1.301716,13
19,11.21643,1.350035,13
20,11.21643,1.400493,13
21,11.21643,1.451222,13
22,11.21643,1.498418,13
23,11.21643,1.546498,13
24,10.9289,1.592383,13
25,10.9289,1.643506,13
26,10.9289,1.694007,13
27,10.9289,1.741208,13
28,10.9289,1.78581,13
29,10.37625,1.833381,13
30,10.37625,1.884616,13
31,10.37625,1.932288,13
32,10.37625,1.978656,13
33,10.37625,2.021119,13
34,10.37625,2.062488,13
35,10.37625,2.10723,13
36,10.37625,2.150679,13
37,10.37625,2.195324,13
38,10.37625,2.247636,13
39,10.37625,2.29186,13
40,9.107173,2.344714,13
41,9.107173,2.388992,13
42,9.107173,2.433981,13
43,9.107173,2.475975,13
44,9.107173,2.525892,13
45,9.107173,2.576238,13
46,9.107173,2.626739,13
47,9.107173,2.677356,13
48,9.107173,2.728173,13
49,9.107173,2.779865,13
